setting,src,tgt,interval,unknown,unknown_name,n_src,n_tgt,n_unknown_tgt,d_novel_maha,d_drift_maha,DNR_maha,d_novel_euclid,d_drift_euclid,DNR_euclid,d_novel_energy,d_drift_energy,DNR_energy,AUROC_maha,AUROC_knn,AUROC_msp,MMD_drift,MMD_novel,MMD_ratio,PAD_drift,DNR_maha_mean,d_novel_maha_mean,d_drift_maha_mean,AUROC_maha_mean,DNR_maha_coral,d_novel_maha_coral,d_drift_maha_coral,AUROC_maha_coral,pair
Setting 1,1,5,4,1,Ethanol,445,197,28,49.14002850808258,31.730746918921383,0.6457209709127925,25.957270921235406,14.397146759697717,0.5546479367335779,32.870290951981985,17.724047533026763,0.5392117629539283,0.9330092983939138,0.9065934065934067,0.3250211327134404,0.3530856174087216,0.8641688262886432,0.40858407138466546,1.980952380952381,0.8068617604857743,23.260277640696415,18.7678285665602,0.7396449704142012,0.6703187944903374,7.637987814170699,5.119886783926789,0.790152155536771,1->5
Setting 1,1,5,4,2,Ethylene,445,197,40,52.8563592269707,32.32705946155875,0.611602084107666,25.35740309652908,17.445660410907784,0.687990814536357,30.117660384049778,22.706777811010227,0.7539356484355494,0.9004777070063694,0.8668789808917198,0.2585987261146497,0.44885257217900265,0.7679422749654882,0.5844873850696322,1.9411764705882355,0.47644363103822795,39.3115250996028,18.729725760105193,0.927547770700637,0.39863447078342035,14.886050593278219,5.934092900306683,0.6426751592356688,1->5
Setting 1,1,5,4,3,Ammonia,445,197,20,38.31860606315052,45.90139078314773,1.1978878017509431,8.017523081133483,21.05617046672025,2.62626876825198,10.399533384548713,26.590241634545436,2.5568687220190425,0.503954802259887,0.02994350282485876,0.2610169491525423,0.4424352369556178,0.35560253456553026,1.2441847117208498,1.94392523364486,0.6862994187393554,33.05454087401474,22.68531218853258,0.7737288135593221,0.5327852754361792,17.92221463440853,9.548692060419668,0.7257062146892655,1->5
Setting 1,1,5,4,4,Acetaldehyde,445,197,46,37.98348782477964,35.69313630883986,0.9397013900749368,14.945004088284131,17.722347904203517,1.1858376083079585,20.432035240762367,21.517314895257122,1.0531165711935342,0.6482867837604377,0.4006622516556292,0.22458969190901237,0.3362463148805779,0.6653014678103496,0.505404438663328,1.9402985074626864,1.0929885763678922,19.926392279499463,21.779319129718278,0.4160668010365678,0.6256474271226565,8.786750029023588,5.497407548428535,0.6196372012669162,1->5
Setting 1,1,5,4,5,Acetone,445,197,63,43.266890426178726,41.39795177340352,0.9568044147761449,19.90147961158422,18.36678177604982,0.9228852394150088,22.721313412771856,23.06380703797388,1.015073671973976,0.49016820658611704,0.5960672826344469,0.6995972518360578,0.37534800055500417,0.6264352189085042,0.5991808717412275,1.9166666666666665,1.0052619187423606,27.44652448823322,27.59094586985051,0.6130063965884862,0.4695409214527848,21.043026544372918,9.88056207380027,0.9843638948116561,1->5
Setting 1,1,6,5,1,Ethanol,445,2300,514,42.98014499533449,25.019902083391283,0.582126981798391,14.377254996129077,10.240680773708693,0.7122834488548675,17.720789550750847,11.780024161926907,0.6647572969697491,0.9195232264783162,0.9115602982122082,0.3259909542877809,0.18542106498210376,0.6030948135998191,0.3074492779590359,1.888,0.7190993800146611,22.914854448090715,16.47805762674823,0.7770848493034889,1.1132381747530264,6.227721787496221,6.932937635581948,0.72503060988841,1->6
Setting 1,1,6,5,2,Ethylene,445,2300,574,41.80160289806225,26.35494510629757,0.6304769022988657,15.550993604804013,11.861062671090187,0.762720567734403,16.649419263510694,14.406479903682662,0.8652842285770461,0.7692505682712844,0.7576600546670921,0.34015931783221154,0.22825658333238374,0.48601941262722204,0.4696449923646508,1.936,0.7041355635733099,26.714913388155296,18.81092059438089,0.8107979618945336,0.40833972568033355,15.625691131898657,6.380590430365118,0.8423799161017598,1->6
Setting 1,1,6,5,3,Ammonia,445,2300,110,39.80175364235251,36.73601452918814,0.9229747729029166,7.485961099686111,12.903999497167735,1.7237598920609947,9.775679829630679,15.145659240203475,1.5493203034633012,0.6268451639684516,0.3976587795765878,0.2492652552926526,0.26388416348956567,0.4142877054727916,0.6369587125169861,1.968,0.6406424614441542,33.40847529707769,21.40288784741607,0.8870485678704856,0.28489648910780274,36.09196686202532,10.282474643986175,0.9332046492320465,1->6
Setting 1,1,6,5,4,Acetaldehyde,445,2300,29,28.08188784589463,28.288222750599694,1.0073476151545568,11.981570925496392,10.612501370905392,0.8857353878632338,15.049761108543052,11.9954017653077,0.797049313859106,0.6069026253055771,0.6386674562322537,0.4681212894213395,0.20926775111342755,0.5907470917398396,0.35424254141836287,1.952,0.9161024402723402,19.182311472942253,17.572962350426508,0.6169392186337479,0.5954985882561549,8.375284335769456,4.987469998194599,0.8600798675959246,1->6
Setting 1,1,6,5,5,Acetone,445,2300,606,25.57144562045819,32.707073000765654,1.279046694747624,7.906043960787222,12.15491778092833,1.5374209707427478,6.711075534671213,15.079341081957892,2.2469335956738945,0.3867864059133186,0.41444274297559625,0.8489163851450081,0.26992558807345857,0.18500636413136795,1.459007041951226,1.952,1.1493215183045442,17.266716986345397,19.845009382881354,0.6593052162359092,0.5202392712557921,15.919830314589902,8.282120921378118,0.8408389540252726,1->6
