setting,src,tgt,unknown,unknown_name,DNR,lo,hi,DNR_mean_knownonly,dnovel_mean_knownonly,ddrift_mean_knownonly,AUROC_mean_knownonly,DNR_coral_knownonly,dnovel_coral_knownonly,ddrift_coral_knownonly,AUROC_coral_knownonly
Setting 1,1,2,1,Ethanol,0.030414575445173616,0.007565199072696299,1.0071092503548764,0.027542084230705612,904.712251519609,24.917661035904395,0.7922764227642277,0.006315015206360717,910.9294612790115,5.752533399898934,0.9804482836495032
Setting 1,1,2,2,Ethylene,3.928200801661723,0.30012710658479347,16.526970473706715,1.7742952620924648,147.89908705843732,262.4166494355863,0.907234980588274,0.1430931812234208,69.36853309908267,9.9261640779499,0.99371586497335
Setting 1,1,2,3,Ammonia,9.362719735069973,1.0498467807088325,27.997911730174515,2.156281373626432,168.18861396543423,362.6619755497122,0.9353496503496503,0.07227009788405077,136.70250372156508,9.879503324952323,0.9928496503496503
Setting 1,1,2,4,Acetaldehyde,11.93988524940436,1.380660669508952,34.019122408327945,2.182874099135227,135.45837189410796,295.6885715186755,0.7913187568201108,0.28015112728876723,18.62831606067558,5.2187437438897115,0.9258941922968112
Setting 1,1,2,5,Acetone,6.790721464963194,0.8344109093533866,19.379369570905713,1.5633703220399509,206.50490981482915,322.84364736004045,0.6444279589422997,0.04392681264184562,245.08658835753755,10.765872647810694,0.9996013559178846
Setting 1,1,3,1,Ethanol,0.5821017305913123,0.565189140904329,0.6048106253520388,0.5428443859519484,30.0454962352233,16.31002895443137,0.921048321048321,0.12103591045010434,41.690168614721195,5.046007515101145,0.9958152423905848
Setting 1,1,3,2,Ethylene,0.46107471728383825,0.4462244182887721,0.47745665953478295,0.3437006681269321,47.61880475238574,16.36661500880091,0.9581204379562044,0.06465278187317527,99.21333206291014,6.414417916774236,0.9977245642782661
Setting 1,1,3,3,Ammonia,1.399237813902167,1.3447419591438832,1.4555533474847497,0.7254294430321,33.80689117066742,24.524514232584085,0.8590801567991349,0.10997422916992147,79.80528412521964,8.7765246053576,0.9899635036496349
Setting 1,1,3,4,Acetaldehyde,1.3920417360322965,1.3521988101143547,1.4352367719919874,1.2904938180670595,16.37278057079518,21.12897211117964,0.14391406636948983,0.1465723480817725,38.76111566514974,5.681307737310172,0.9883977216443783
Setting 1,1,3,5,Acetone,0.9912278723061906,0.933619796041407,1.0580434559427716,0.6350490985724866,38.51632646191402,24.45975839996211,0.880185840094307,0.030253657058811424,365.92937754288414,11.070701895926748,0.9985576589695583
Setting 1,1,4,1,Ethanol,0.4925501606786528,0.4196239907191002,0.5912220493396853,0.5110666127388858,49.4105373937943,25.252075979454503,0.8532538659793815,0.03962259128167424,109.58476193448217,4.342032232829561,1.0
Setting 1,1,4,2,Ethylene,0.6653299681390301,0.5857417968545138,0.7626302892034149,0.6516200692513828,49.512208737402524,32.26314888625515,0.614702404414663,0.07331798692256639,90.51360923169992,6.636275617964059,1.0
Setting 1,1,4,3,Ammonia,1.6923861410053882,1.5837028230398043,1.852956412765481,0.7110524784143936,55.05858754366318,39.14954513091756,0.5989932885906041,0.038049287017879435,287.12746275716756,10.924995241162957,1.0
Setting 1,1,4,4,Acetaldehyde,0.8864381995985591,0.6880467684807331,1.0973997811025318,0.6940907356785161,47.46734573810624,32.946644924068636,0.6142493638676845,0.13049563486863963,39.05883643383134,5.097007657663173,1.0
Setting 1,1,4,5,Acetone,1.1927269776189589,1.0673171450020131,1.4379231946414301,0.7492903327886573,55.43563129106837,41.537382618433924,0.5151006711409396,0.04006829717876299,225.75369092799468,9.045565977305502,1.0
Setting 1,1,5,1,Ethanol,0.6457209709127925,0.5954773671756749,0.697829860462704,0.6767336873717402,27.29746182762911,18.47311199850077,0.7928994082840237,0.0763282803865881,70.5828664814968,5.387468823288798,1.0
Setting 1,1,5,2,Ethylene,0.611602084107666,0.5548189363654913,0.689709040647904,0.3499185055812021,48.814212443726774,17.08099626943219,0.9684713375796179,0.06493134413879688,124.10751299238004,8.058467636318433,1.0
Setting 1,1,5,3,Ammonia,1.1978878017509431,1.1470134280849467,1.2594248325212467,0.6270558306709935,36.329213428227,22.780445103860693,0.8350282485875707,0.09374311968682791,112.59226860458286,10.554750511610887,0.9960451977401129
Setting 1,1,5,4,Acetaldehyde,0.9397013900749368,0.8901200686708779,0.9981685308184434,0.8435529978606093,25.620255101567086,21.612042996880486,0.6893175928591995,0.12412372545400663,50.04285529119868,6.211505631099327,1.0
Setting 1,1,5,5,Acetone,0.9568044147761449,0.8053184063548274,1.0769104169953423,0.6829526389926117,38.45565498992253,26.263391059556987,0.8415067519545132,0.0747107674957554,155.16572362196274,11.592550300831101,0.9997630893153281
