src,tgt,unknown,unknown_name,DNR,lo,hi,n_boot
1,2,1,Ethanol,0.030414575445173,0.008416458026531076,0.993797333484199,400
1,2,2,Ethylene,3.928200801661633,0.25540902899829376,14.836681534128973,400
1,2,3,Ammonia,9.362719735070272,1.0158094797148203,26.720478642569176,400
1,2,4,Acetaldehyde,11.9398852494045,1.3140389792760199,34.933537663045065,400
1,2,5,Acetone,6.7907214649631715,0.8486548106337317,18.67147565460388,400
1,3,1,Ethanol,0.5821017305913183,0.5243038236363803,0.6298361402440016,400
1,3,2,Ethylene,0.4610747172838396,0.39837539738634176,0.5262758350905363,400
1,3,3,Ammonia,1.3992378139021988,1.3422640331319187,1.5452079339650422,400
1,3,4,Acetaldehyde,1.3920417360323079,1.353205111050357,1.4979286823691915,400
1,3,5,Acetone,0.9912278723061878,0.8626300709136209,1.1000275968294473,400
1,4,1,Ethanol,0.4925501606786526,0.3252250877339837,0.5673771154601465,400
1,4,2,Ethylene,0.665329968139029,0.5482947559193649,0.9816832848064426,400
1,4,3,Ammonia,1.6923861410054197,1.629118382612051,2.1867136789191743,400
1,4,4,Acetaldehyde,0.8864381995985687,0.636315308662216,1.194731640951101,400
1,4,5,Acetone,1.1927269776189495,1.045470179181089,2.0782315452991003,400
1,5,1,Ethanol,0.6457209709127975,0.5731175189165145,0.7142638562911836,400
1,5,2,Ethylene,0.6116020841076644,0.5191846435992094,0.7210435612656557,400
1,5,3,Ammonia,1.197887801750959,1.1503533977511913,1.3409554457834179,400
1,5,4,Acetaldehyde,0.939701390074946,0.8828567065548089,1.0421490375703337,400
1,5,5,Acetone,0.956804414776142,0.6872978773077522,1.0830956760705555,400
1,6,1,Ethanol,0.5821269817983931,0.5600923603892355,0.6335962130574782,400
1,6,2,Ethylene,0.6304769022988681,0.5559311478081914,0.6910147093581533,400
1,6,3,Ammonia,0.9229747729029153,0.9023129366568913,0.9846302031385105,400
1,6,4,Acetaldehyde,1.0073476151545557,0.9370316498898033,1.0666265102890191,400
1,6,5,Acetone,1.2790466947476444,1.1927659862135809,1.3654111278194065,400
1,6,6,Toluene,1.3335657969165529,1.2980794854818176,1.4278934897962807,400
1,7,1,Ethanol,0.5599943007665461,0.5463840914605403,0.6092738400475806,400
1,7,2,Ethylene,0.43185407499197437,0.3881195867479664,0.47747525157708715,400
1,7,3,Ammonia,1.1689537933180956,1.0959504106760394,1.2303423361059151,400
1,7,4,Acetaldehyde,1.932609744984075,1.7540290843196373,2.006447672318378,400
1,7,5,Acetone,0.8287579723164992,0.7903176104810601,0.8989587487838652,400
1,7,6,Toluene,1.7350463326667576,1.626088595848436,1.8318783960107352,400
1,8,1,Ethanol,0.7388941984871878,0.4994331043519748,1.401336859492414,400
1,8,2,Ethylene,2.1513900406903783,1.4877425666663324,3.379917124511425,400
1,8,3,Ammonia,1.0820842779558764,0.8253487757160343,1.7796777077986252,400
1,8,4,Acetaldehyde,1.7226171583624648,0.839474707689632,2.7972679037277137,400
1,8,5,Acetone,1.3173876495727332,0.9945517721375515,2.12769477476623,400
1,8,6,Toluene,0.330874422681406,0.12990224947556878,1.2933700842228857,400
1,9,1,Ethanol,1.034117514216719,0.595207493654177,1.9461063554690188,400
1,9,2,Ethylene,2.3503394718777955,1.4063718955968147,4.280683751626307,400
1,9,3,Ammonia,1.1970426284349727,0.823394191484301,2.1201703115864463,400
1,9,4,Acetaldehyde,1.9612308609869757,1.103124239317738,3.6119095947523467,400
1,9,5,Acetone,0.27927839696237694,0.10190306834371697,1.152476790564169,400
1,9,6,Toluene,1.751561831784992,0.9864333521284244,3.3396886450521466,400
1,10,1,Ethanol,1.1398311469734643,1.0197758066471843,1.2715814137991235,400
1,10,2,Ethylene,1.1050346964071895,1.0132159923501782,1.2289987865738643,400
1,10,3,Ammonia,0.7297021404572205,0.6992792964158338,0.8268620946190832,400
1,10,4,Acetaldehyde,1.9916615341940165,1.789681893249874,2.1332179945771945,400
1,10,5,Acetone,0.34776036565372176,0.3054495209798248,0.39557695803537235,400
1,10,6,Toluene,1.5107028011028203,1.443860087264602,1.7206123200721057,400
2,3,1,Ethanol,0.5056615698759719,0.26814418649757255,0.6119220930593523,400
2,3,2,Ethylene,0.26490286029337057,0.20227760787142804,0.2829010721344467,400
2,3,3,Ammonia,0.9528283782292346,0.7969069037691706,0.9996334195429271,400
2,3,4,Acetaldehyde,1.2758348382655493,1.24146999815614,1.4293997908556597,400
2,3,5,Acetone,0.30368886546359114,0.26603611142997957,0.3565901116685949,400
3,4,1,Ethanol,0.4074805209933285,0.26099260584621053,0.6272498501323003,400
3,4,2,Ethylene,0.9912783923756274,0.7684992902326359,1.2733337557161644,400
3,4,3,Ammonia,2.1069238883803387,1.6733617875030689,2.7455268233554726,400
3,4,4,Acetaldehyde,0.4372129725772253,0.2913716118266058,0.8283532034313292,400
3,4,5,Acetone,0.8052646852636146,0.6440973974967223,1.033733282728535,400
4,5,1,Ethanol,0.27049146965666665,0.23141586500299668,0.33898347113829486,400
4,5,2,Ethylene,0.18798431072383456,0.16358301448376547,0.23064515445357725,400
4,5,3,Ammonia,0.2871467041359457,0.2587506300366399,0.38336986995815087,400
4,5,4,Acetaldehyde,0.3878502782816594,0.3188000724951773,0.47841044417330575,400
4,5,5,Acetone,0.15497130372489193,0.13221571852948627,0.19102577561092599,400
5,6,1,Ethanol,0.7473690595687514,0.6986366390617337,0.8032005727665119,400
5,6,2,Ethylene,0.4499717448140526,0.41300589684585426,0.5101569318579513,400
5,6,3,Ammonia,0.9243708516280965,0.780853261918608,1.0842282343642728,400
5,6,4,Acetaldehyde,0.7716127281759937,0.6799461192432192,0.8534674679033245,400
5,6,5,Acetone,0.7407224536097207,0.5627385706188204,0.8192612872368655,400
5,6,6,Toluene,0.9054656975144795,0.8671588437622625,0.9949568547295063,400
6,7,1,Ethanol,0.3183705481620348,0.2949381684285853,0.34525605050414515,400
6,7,2,Ethylene,0.1637428681776993,0.150915744576438,0.17813180884163124,400
6,7,3,Ammonia,0.384362165808587,0.34907832165477476,0.4252781449724259,400
6,7,4,Acetaldehyde,0.9329156822539887,0.8867092936300381,1.00424368530158,400
6,7,5,Acetone,0.520485398446934,0.473165281730473,0.5734427121115832,400
6,7,6,Toluene,0.6102868184911077,0.589321960584274,0.6723969146164019,400
7,8,1,Ethanol,0.6126269468411891,0.40889742359120673,1.1895759079371775,400
7,8,2,Ethylene,1.6607134965010804,1.0946353151258716,2.783975223050173,400
7,8,3,Ammonia,0.7896269442410467,0.49097225757097424,1.4858056385994511,400
7,8,4,Acetaldehyde,1.3552361206873924,0.993875892427248,2.2227788060500733,400
7,8,5,Acetone,1.9549571300687132,1.4190285407288885,2.887460015121388,400
