src,tgt,unknown,unknown_name,pair,DNR_maha,d_drift,d_novel,DNR_euclid,DNR_energy,AUROC_maha,AUROC_knn,AUROC_msp
1,2,1,CO,1->2,0.8832528505828058,11.180444612752991,12.658260435135515,0.6776345847378299,0.5487464444256074,0.686875,0.7124999999999999,0.8135416666666666
1,2,2,Ethanol,1->2,0.7319450928887886,10.161286438683158,13.882580179039548,0.8103010877920978,0.6949029162524112,0.871875,0.7235416666666666,0.548125
1,2,3,Ethylene,1->2,0.8900893254673911,11.718152450693205,13.165142099125765,0.8941179897371154,0.7938987224988142,0.6397916666666666,0.6808333333333334,0.96375
1,2,4,Methane,1->2,0.44707128364226245,11.565953485976104,25.870490700608162,0.36271237105931037,0.23435940981764386,0.9797916666666667,0.9891666666666666,0.0
1,3,1,CO,1->3,0.8307485174399751,14.825790339160678,17.846303698317342,0.6590022868324512,0.5455575680661958,0.7741666666666667,0.805625,0.6704166666666667
1,3,2,Ethanol,1->3,0.9747143589550477,16.71419590915208,17.147788739945007,0.9540858374549237,0.773831759242931,0.6485416666666667,0.6145833333333334,0.564375
1,3,3,Ethylene,1->3,0.8661577740568921,16.711527424168644,19.29386068532934,0.8312770220388668,0.8410770743895072,0.6239583333333333,0.6347916666666666,0.9414583333333334
1,3,4,Methane,1->3,0.6647547327240796,16.644957557423677,25.03924641380856,0.5316365805219924,0.4014731360926611,0.8125,0.8516666666666667,0.0010416666666666658
1,4,1,CO,1->4,0.802303558158044,13.892445335694092,17.315697025685445,0.882170591572351,0.8185528714858477,0.8458333333333333,0.77,0.8408333333333333
1,4,2,Ethanol,1->4,0.7220724446498686,14.545807314651839,20.144526248616327,0.7390826426611425,0.6459511438218906,0.9491666666666667,0.93,0.020000000000000004
1,4,3,Ethylene,1->4,0.9370981175120902,15.338353835445302,16.367927273365172,0.9598618021663943,0.9402029714232101,0.5725,0.6950000000000001,0.9041666666666666
1,4,4,Methane,1->4,0.6816899557947087,16.39475079792977,24.05015749251711,0.5609708814337951,0.45753694506250486,0.935,0.9883333333333333,0.0
1,5,1,CO,1->5,0.8310320088138252,57.55947662665441,69.26264694522659,0.7939547650898909,0.8193758879528933,0.6233333333333333,0.6525000000000001,0.23333333333333334
1,5,2,Ethanol,1->5,2.601979372639794,64.59060439373927,24.823641983068438,4.025938061350855,3.8060276783973124,0.10666666666666666,0.06000000000000001,0.6516666666666666
1,5,3,Ethylene,1->5,1.067321421854135,58.97956745155386,55.259424428205925,1.1083505427199594,0.8271321832934341,0.6525,0.6416666666666666,0.4225
1,5,4,Methane,1->5,0.5491959797636841,47.33357008851072,86.18702946237532,0.45228541411923967,0.5367974660469731,0.7133333333333334,0.7458333333333333,0.0075000000000000015
2,1,1,CO,2->1,0.9750700808140919,10.881224792618843,11.159428441834708,0.785250924655395,0.6212291202770773,0.5816666666666667,0.6433333333333333,0.7156250000000002
2,1,2,Ethanol,2->1,0.5955182919658943,10.803290109149577,18.14098786703312,0.6435503358575089,0.5509620423483581,0.9256249999999999,0.81625,0.28520833333333334
2,1,3,Ethylene,2->1,0.7618825704288481,16.257809816460522,21.338996910389135,0.824793462730629,0.7088446037628174,0.8039583333333333,0.6970833333333334,0.6235416666666667
2,1,4,Methane,2->1,0.6345890549446497,12.157608517112465,19.158238583508,0.6955895963887919,0.5317082528649035,0.8887499999999999,0.8672916666666667,0.0
2,3,1,CO,2->3,0.7065773172337932,13.834752615589343,19.5799557644329,0.6243626001399144,0.4358915532867637,0.7729166666666666,0.775,0.5241666666666667
2,3,2,Ethanol,2->3,1.0485571755192191,16.367947729085827,15.609971598335429,1.352498233684524,0.8565778625697289,0.718125,0.6654166666666667,0.48270833333333335
2,3,3,Ethylene,2->3,0.8711311776911438,17.209646423596194,19.755516579269774,0.76275999511221,0.7238494577453031,0.62,0.6414583333333334,0.8404166666666667
2,3,4,Methane,2->3,0.6610831590376485,16.949101946437036,25.6383810640558,0.6472691630972792,0.4144636425365044,0.779375,0.7710416666666666,0.00958333333333333
2,4,1,CO,2->4,0.9360556168198303,17.690084323053686,18.898539793131363,0.8310125666947116,0.7544284247976705,0.6858333333333332,0.7725,0.044166666666666674
2,4,2,Ethanol,2->4,0.8112148264856527,16.967143192105457,20.915721259201543,0.848194301561656,0.7658766792561612,0.89,0.7858333333333334,0.04416666666666667
2,4,3,Ethylene,2->4,0.9423799255231943,24.340384069823283,25.828631755191402,0.9592518000891623,0.918386259655386,0.6525,0.6166666666666667,1.0
2,4,4,Methane,2->4,0.7237651415839326,17.78050711092511,24.56668066662225,0.7718572283360803,0.7160738819247312,0.9541666666666666,0.8708333333333333,0.0
2,5,1,CO,2->5,0.8319876897809281,58.70582062788841,70.56092457731715,0.8146569569285393,0.8116834040730999,0.6316666666666667,0.6541666666666667,0.6908333333333334
2,5,2,Ethanol,2->5,1.8476925773236361,65.5823096718042,35.494167415447166,3.4318480598321144,2.9254897397315633,0.21750000000000003,0.05750000000000001,0.42666666666666664
